link_id,question_id,data_preset_id
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,10,1
10,11,1
11,12,1
12,46,1
13,18,1
14,19,1
15,24,1
16,25,1
17,30,2
18,32,2
19,31,2
20,33,2
21,34,2
22,1,2
23,40,3
24,42,3
25,43,3
26,41,3
27,45,3
28,44,3
29,1,4
30,2,4
31,3,4
32,4,4
33,9,4
34,22,4
35,23,4
36,38,4
37,27,4
38,28,4
39,26,4
40,30,4
41,29,2
42,29,4
43,35,4
44,36,4
45,37,4
46,7,5
47,9,4
48,10,5
49,11,5
50,47,5
51,48,5
52,49,5
53,50,5
54,51,5
55,22,6
56,23,6
57,38,6
58,24,6
59,25,6
60,52,6
61,53,6
62,60,6
63,61,6
64,54,6
65,55,6
66,56,6
67,59,6
68,57,6
69,58,6
70,12,7
71,13,7
72,14,7
73,15,7
74,16,7
76,29,7
77,39,4
78,18,8
79,19,8
80,20,8
81,21,8
82,62,8
83,63,8
75,17,7
84,64,1
85,5,6
86,6,6
87,65,2
90,68,7
91,69,8
92,70,9
93,71,9
94,72,9
95,73,9
96,74,9
97,75,9
98,76,9
99,77,9
100,78,9
101,79,9
102,80,9
103,81,9
104,82,6
105,83,6
106,84,6
107,85,6
108,86,6
109,87,6
110,88,6
111,89,6
112,90,10
113,91,10
114,92,10
115,93,10
116,94,10
117,95,7
118,96,7
119,97,3
120,98,6
121,97,1
122,66,1
123,67,1
124,99,1
125,100,3
126,101,8
127,102,7
128,103,7
129,104,2
130,105,3
131,106,3
132,107,3
133,108,3
134,110,3
135,111,3
136,112,3
137,113,3
138,28,1